,name,created,last_vote_time,last_post,reputation,total_steem,total_sbd,total_vests
0,red,2016-04-04 03:25:39,2017-06-07 10:15:27,2017-06-07 10:11:39,1993860928264,39.065,53.122,16329006.697
1,wackou,2016-04-02 13:23:15,2017-09-30 11:56:51,2017-09-09 21:28:36,5227870101994,6213.431,10.22,1112954896.523
2,xeroc,2016-04-08 13:48:54,2017-09-29 12:16:06,2017-09-22 13:19:15,116133494848670,0.64,289.838,51895522.828
3,roadscape,2016-04-06 01:03:54,2017-09-29 03:04:36,2017-09-28 21:07:39,13365094119608,52.273,3217.628,1948232277.668
4,fmooo,2016-03-25 01:08:18,2017-07-26 15:31:48,2016-04-20 14:38:06,10062655,0.0,0.001,240350.984
5,abit,2016-04-04 11:33:18,2017-09-30 09:44:27,2017-09-30 10:26:45,86889605271620,273.372,1217.975,1943163814.665
6,steempty,2016-03-25 09:53:48,2017-09-30 11:34:54,2017-09-22 09:05:15,4913188386739,16.672,0.233,312140118.043
7,steem-id,2016-04-08 16:21:36,2017-09-30 11:31:24,2017-08-22 16:41:54,2224650372472,0.0,0.061,62328680.192
8,nextgencrypto,2016-04-05 03:39:24,2017-09-29 19:06:09,2017-08-09 21:51:21,29021431775311,8.0,1608.532,398092218.15
9,ned,2016-03-31 14:21:45,2017-09-28 20:45:18,2017-09-29 03:56:51,51052582648202,141865.421,7055.953,7344803610.093
10,pharesim,2016-04-02 23:41:21,2017-09-30 11:54:54,2017-09-29 10:50:54,68503074589108,67696.824,361.968,1031030519.766
11,penambang,2016-03-26 09:36:03,2017-06-09 20:31:21,2016-09-28 15:33:33,318567971593,2.0,0.207,176800.736
12,satoshi,2016-04-14 18:52:03,2016-04-17 19:56:24,2016-04-17 14:34:12,75000465,0.0,0.0,26780.0
13,jabbasteem,2016-04-06 06:40:54,2016-09-08 08:42:15,2016-07-29 10:10:48,1367922336040,0.0,6.779,1792.136
14,mileycyrus,2016-04-16 18:25:12,2016-04-22 04:11:21,2016-04-22 04:11:54,197416,0.0,2.196,75934.834
15,kanyewest,2016-04-01 21:22:36,2016-04-01 21:22:36,2016-04-17 17:06:06,747618861,0.0,0.076,0.0
16,doom,2016-04-14 23:48:24,2016-06-29 01:27:15,2016-04-17 19:20:30,17585032958,0.0,0.748,44233.826
17,steemservices,2016-04-14 05:19:48,2017-09-29 19:06:09,2017-02-12 01:29:54,30701734583974,0.0,0.0,59944492.706
18,silver,2016-04-04 08:26:42,2017-03-06 03:04:51,2016-08-01 00:35:39,138490649,0.0,0.116,2058.991
19,kushed,2016-04-04 08:04:12,2017-09-30 11:17:06,2017-08-29 02:11:45,10495790629008,11697.879,606.126,178717066.561
20,taylorswift,2016-04-13 09:10:15,2016-04-22 04:01:21,2016-04-22 04:01:12,385282351,0.0,0.094,0.0
21,sockpuppet,2016-04-14 02:09:54,2017-09-29 19:06:27,2016-04-21 17:01:00,16764,0.0,0.105,103161.272
22,samupaha,2016-04-03 02:52:09,2017-09-16 15:56:06,2017-09-16 18:31:27,43375668260920,4578.029,0.457,28294438.147
23,ihashfury,2016-04-04 16:48:51,2017-09-30 11:52:00,2017-06-28 15:21:00,3015511547000,0.0,0.555,9963809.118
24,puppies,2016-04-02 07:15:57,2016-05-15 02:45:00,2016-05-15 02:44:45,997596889281,44863.132,0.003,0.0
25,steemed,2016-04-01 19:08:03,2017-09-06 17:27:45,2017-06-23 20:05:51,21122780165829,0.0,27.125,1053187424.281
26,dele-puppy,2016-04-02 05:50:51,2016-04-25 14:48:03,2016-07-27 00:55:30,1071953838884,222934.557,0.011,0.0
27,donalddrumpf,2016-03-28 22:05:45,2017-09-29 19:06:18,2016-04-24 21:24:15,19903473,0.0,0.001,103166.294
28,coin,2016-04-02 18:42:15,2016-07-23 21:08:15,2016-07-23 22:32:54,173220535193,9.721,3.182,16786609.433
29,dantheman,2016-03-24 17:00:06,2017-09-19 15:31:24,2017-09-19 15:27:24,243825402725089,944298.003,95.599,212830.333
30,xeldal,2016-04-02 21:03:21,2017-09-30 11:49:30,2017-09-27 18:36:21,8315783839610,0.145,18.433,1965634156.486
31,abuali,2016-04-14 06:06:12,2016-04-20 02:24:09,2016-04-20 03:09:24,103696143,0.0,0.0,27760.0
32,mrs.agsexplorer,2016-04-19 22:23:33,2017-06-06 14:52:48,2016-07-18 15:34:21,7520586390,0.0,0.241,28573477.865
33,clayop,2016-04-11 05:19:12,2017-09-30 03:27:42,2017-09-29 18:59:51,160808927776020,141.621,7.422,62284142.833
34,betax,2016-04-20 01:56:21,2016-07-12 16:18:57,2016-07-12 10:24:39,11916719663,3970.721,0.071,0.043
35,enki,2016-04-03 05:41:30,2017-09-30 11:53:33,2016-08-22 21:35:36,1049211085828,67248.012,3611.188,5941830.367
36,witness.svk,2016-04-15 08:37:24,2017-09-15 18:57:54,2016-06-21 05:13:57,8717425187,400336.555,1.061,331831743.07
37,justin,2016-04-04 00:08:33,2017-01-17 05:15:00,2016-05-20 05:51:00,608057298751,0.003,0.092,0.0
38,steemychicken1,2016-04-10 15:38:36,2017-09-30 10:25:12,2017-09-15 08:58:36,17711656446056,69.947,166.27,18548857.231
39,bittrexrichie,2016-04-18 00:04:24,2016-04-24 21:36:30,2016-04-22 06:44:21,-463779708716,0.0,0.0,0.0
40,recursive,2016-04-19 01:37:30,2017-08-30 20:56:33,2017-09-05 18:49:24,14246157308362,272.827,699.379,843516847.629
41,jabbasteem2,2016-04-06 06:58:54,2016-04-06 06:58:54,2016-04-22 16:31:39,-160522834678,0.0,22.82,3094947.701
42,au1nethyb1,2016-04-16 22:13:48,2017-05-28 11:53:54,2016-09-24 02:54:57,13097477268305,0.0,0.0,9104743.333
43,beyondbitcoin,2016-04-19 14:56:30,2016-04-29 23:05:39,2016-04-29 23:04:18,785293711962,0.0,0.001,410371.879
44,steempower,2016-04-22 18:49:42,2017-09-30 11:09:09,2017-09-30 11:08:54,214952138523870,3809.396,775.307,175650007.5
45,arhag,2016-04-11 05:30:36,2017-08-01 04:46:30,2017-07-20 23:05:12,52490811034584,67014.786,4309.459,1674468598.254
46,summon,2016-03-27 15:07:24,2017-09-15 13:16:45,2017-06-29 01:27:21,14228149743924,3923.677,102.938,96960908.343
47,delegate.lafona,2016-04-05 13:21:30,2017-03-14 20:34:30,2017-03-19 22:45:33,1604913152392,0.0,229.036,239886748.135
48,joseph,2016-04-16 00:10:24,2017-09-30 10:25:33,2017-09-28 16:46:45,162257890767300,214.188,0.012,54147992.571
49,boatymcboatface,2016-04-22 21:10:39,2017-09-30 11:36:30,2017-02-06 11:38:24,133399820916,1.934,3.132,130442368.64
50,danknugs,2016-04-14 02:44:33,2017-09-29 19:06:09,2017-08-19 17:20:57,8884945243066,0.0,0.0,45151348.079
51,testz,2016-04-09 05:38:36,2017-09-29 07:48:15,2017-08-31 04:04:03,31842467498570,71.563,419.903,39413850.049
